Instruction,Mps,Mie,Mnev,DfuDataDependency,BranchResult,IrqX,CacheMiss,Rst,Clk,ImmSext,Format,AluOperation,AluSource,CsrOperation,MdrOperation,WbDataSrc,GprWrEna,PcMode,ClkConfig,ExcPcWrEna,ExcCsrWrEna,ExcCsrData,ExcCsrAddress,CycleMepc,ExcMemRd,ExcAluOp,BranchType,BpuMode,GprRsX1,GprRsX2,GprRdX,DfuMode,PipelineMode,AckX
00000000000000000000000000000000,00000000,00000000,00000000,0,0,0,0,1,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,01,0
00000000000000010110000010110111,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,01,0
11111111111111111111000100010111,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,01,0
11001011001100000000000110010011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,01,0
11100100101100000010001000010011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,01,0
01011111110000000011001010010011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,01,0
00110101001100000100001100010011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,01,0
10001010001000000110001110010011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,01,0
01010111101100000111010000010011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,01,0
00000001111100001001010010010011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,01,0
00000000111100001101010100010011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,01,0
01000000010100001101010110010011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,01,0
00000000000100010000011000110011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,01,0
01000000001000010000011010110011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,01,0
00000000001000011001011100110011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,01,0
00000000001100011010011110110011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,01,0
00000000001100100011100000110011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,01,0
00000000010000100100100010110011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,01,0
00000000010000101101100100110011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,01,0
01000000010100101101100110110011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,01,0
00000000010100110110101000110011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,01,0
00000000011000110111101010110011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,01,0
00101011000100011001101101110011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,01,0
00001001100100011010101111110011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,01,0
00101110110000011011110001110011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,01,0
00110101101110101101110011110011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,01,0
00111100100001110110110101110011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,01,0
00011100001100010111110111110011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,01,0
00010110010101010000111000000011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,01,0
00010110010101010001111010000011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,01,0
00010110010101010010111100000011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,01,0
00010110010101010100111110000011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,01,0
00010110010101010101110010000011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,01,0
00001110101101010000111110100011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,01,0
00001001011001011001100010100011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,01,0
00010101010101100010000100100011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,01,0
00000010000100011000111110110011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
00000010001000100001111100110011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
00000010001100101010111010110011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
00000010010000110011111000110011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
00000010010100111100110110110011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
00000010011001000101110100110011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
00000010011101001110110010110011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
00000010100000001111110000110011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
00000000000100001000000100110011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
00000000000100010000000110110011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
00000000010000101101100100110011,00000001,00000800,00000001,1,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
01000000010100101101100110110011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
00000000010100110110101000110011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
00000000011000110111101010110011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
00001100001100010000010001100011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
00010010001100010001011001100011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
00011000001100010100100001100011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
00011110001100010101101001100011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
00100100001100010110110001100011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
00101010001100010111111001100011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
00000100111000000000001011101111,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
00000000000100010000011000110011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
01000000001000010000011010110011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
00000000001000011001011100110011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
00000000001100011010011110110011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
00000000001100100011100000110011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
00000000001100100011100000110011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
00000110010001010000101101100111,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
00000000000100010000011000110011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
01000000001000010000011010110011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
00000000001000011001011100110011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
00000000001100011010011110110011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
00000000001100100011100000110011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
00000000000000010110000010110111,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
11111111111111111111000100010111,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
11001011001100000000000110010011,00000001,00000800,00000001,0,0,1,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
11100100101100000010001000010011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
01011111110000000011001010010011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
00110101001100000100001100010011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
10001010001000000110001110010011,00000001,00000800,00000001,0,0,2,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
01010111101100000111010000010011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
00000001111100001001010010010011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
00000000111100001101010100010011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
01000000010100001101010110010011,00000001,00000800,00000001,0,0,4,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
00000000000100010000011000110011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
01000000001000010000011010110011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
00000000001000011001011100110011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
00000000001100011010011110110011,00000001,00000800,00000001,0,0,8,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
00000000001100100011100000110011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
00000000010000100100100010110011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
00000000010000101101100100110011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
01000000010100101101100110110011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
00000000010100110110101000110011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
00000000011000110111101010110011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
00101011000100011001101101110011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
00001001100100011010101111110011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
00101110110000011011110001110011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
00110101101110101101110011110011,00000001,00000800,00000001,0,0,0,1,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
00111100100001110110110101110011,00000001,00000800,00000001,0,0,0,1,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
00000000000000000000000010110111,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
00000000000100001000000010010011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
11111111101000001001000001110011,00000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
11111111101000001001000001110011,80000001,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
11111111101000001001000001110011,00000000,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
11111111101000001001000001110011,00000000,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
11111111101000001001000001110011,00000000,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
11111111101000001001000001110011,00000000,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
11111111101000001001000001110011,00000000,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
11111111101000001001000001110011,00000000,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
11111111101000001001000001110011,00000000,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
11111111101000001001000001110011,00000000,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
11111111101000001001000001110011,00000000,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
11111111101000001001000001110011,00000000,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
01000000001000010000011010110011,00000000,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
00000000001000011001011100110011,00000000,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
00000000001100011010011110110011,00000000,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
00000000001100100011100000110011,00000000,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
00000000010000100100100010110011,00000000,00000800,00000001,0,0,0,0,0,1,0,00,00001,01,001,0,001,1,01,1,1,01,00000000,00000000,01,1,0,0,1,00001,00001,00001,1,00,0
